epoch,loss,step,train_psnr channel 1,train_psnr channel 2,val_loss,val_psnr channel 1,val_psnr channel 2
0,,21,122.2849349975586,125.33367919921875,,,
0,,21,,,0.007877329364418983,119.6811294555664,115.97859954833984
0,0.20749741792678833,21,,,,,
1,,43,123.67494201660156,123.53244018554688,,,
1,,43,,,0.002533530816435814,121.27415466308594,123.99969482421875
1,0.004782693460583687,43,,,,,
2,,65,123.3232192993164,127.01631164550781,,,
2,,65,,,0.000844052410684526,128.52783203125,126.1686019897461
2,0.0012728560250252485,65,,,,,
3,,87,128.77455139160156,127.55718994140625,,,
3,,87,,,0.0008767697727307677,127.15875244140625,126.78800964355469
3,0.0009491779492236674,87,,,,,
4,,109,123.67578125,124.60928344726562,,,
4,,109,,,0.0006842942093499005,128.74298095703125,127.46122741699219
4,0.0009273642208427191,109,,,,,
5,,131,129.93807983398438,127.41214752197266,,,
5,,131,,,0.0008993508527055383,126.76483154296875,127.32209777832031
5,0.0009660396026447415,131,,,,,
6,,153,132.2662353515625,129.5960693359375,,,
6,,153,,,0.0004335717821959406,131.39869689941406,128.96546936035156
6,0.0006855207611806691,153,,,,,
7,,175,132.18336486816406,129.47879028320312,,,
7,,175,,,0.0005435712519101799,130.0764617919922,128.12103271484375
7,0.00046796948299743235,175,,,,,
8,,197,131.94744873046875,128.99171447753906,,,
8,,197,,,0.0004205646400805563,131.4506378173828,129.08544921875
8,0.0004328011127654463,197,,,,,
9,,219,132.2879638671875,129.70318603515625,,,
9,,219,,,0.0007689583580940962,127.56304931640625,127.48701477050781
9,0.00039300951175391674,219,,,,,
